Time,id,pm1,pm2.5,pm4,pm10
1900-01-01 22:00:00,4229336,4,4,4,4
1900-01-01 22:00:00,4229336,4,4,4,4
1900-01-01 22:00:00,4229336,4,4,4,4
1900-01-01 22:00:00,4229336,5,5,5,5
1900-01-01 22:00:00,4229336,5,5,5,5
1900-01-01 22:00:00,4229336,4,4,4,4
1900-01-01 22:00:00,4229336,4,4,4,4
1900-01-01 22:00:00,4229336,4,5,5,5
1900-01-01 22:00:00,4229336,4,5,5,5
1900-01-01 22:00:00,4229336,5,5,5,5
1900-01-01 22:00:00,4229336,5,5,5,5
1900-01-01 22:10:00,4229336,5,5,5,5
1900-01-01 22:10:00,4229336,4,4,4,4
1900-01-01 22:10:00,4229336,5,5,5,5
1900-01-01 22:10:00,4229336,4,5,5,5
1900-01-01 22:10:00,4229336,4,5,5,5
1900-01-01 22:10:00,4229336,5,5,5,5
1900-01-01 22:10:00,4229336,5,5,5,5
1900-01-01 16:10:00,4235113,3,3,3,3
1900-01-01 16:10:00,4235113,2,2,2,2
1900-01-01 16:10:00,4235113,2,3,3,3
1900-01-01 16:10:00,4235113,2,2,2,2
1900-01-01 16:10:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,3,3,3,3
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,3,3,3
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:20:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,3,3,3
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:30:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,3,3,3
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,2,2,2
1900-01-01 16:40:00,4235113,2,3,3,3
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,3,3,3,3
1900-01-01 16:50:00,4235113,2,3,3,3
1900-01-01 16:50:00,4235113,3,3,3,3
1900-01-01 16:50:00,4235113,2,2,2,2
1900-01-01 16:50:00,4235113,3,3,3,3
1900-01-01 16:50:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,2,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,2,3,3,3
1900-01-01 17:00:00,4235113,2,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:00:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,4,4,4
1900-01-01 17:10:00,4235113,3,4,4,4
1900-01-01 17:10:00,4235113,3,3,3,3
1900-01-01 17:10:00,4235113,3,4,4,4
1900-01-01 17:20:00,4235113,3,3,3,3
1900-01-01 17:20:00,4235113,3,4,4,4
1900-01-01 17:20:00,4235113,3,3,3,3
1900-01-01 17:20:00,4235113,3,3,3,3
1900-01-01 17:20:00,4235113,3,3,3,3
1900-01-01 17:20:00,4235113,4,4,4,4
1900-01-01 17:20:00,4235113,4,4,4,4
1900-01-01 17:20:00,4235113,4,4,4,4
1900-01-01 17:20:00,4235113,4,4,4,4
1900-01-01 17:20:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,3,3,3,3
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,5,5
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:30:00,4235113,4,4,4,4
1900-01-01 17:40:00,4235113,4,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:40:00,4235113,4,4,4,4
1900-01-01 17:40:00,4235113,4,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:40:00,4235113,5,6,6,6
1900-01-01 17:40:00,4235113,4,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:40:00,4235113,5,5,5,5
1900-01-01 17:50:00,4235113,5,5,5,5
1900-01-01 17:50:00,4235113,6,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,6,6,6
1900-01-01 17:50:00,4235113,5,5,5,5
1900-01-01 18:00:00,4235113,5,5,6,6
1900-01-01 18:00:00,4235113,5,6,6,6
1900-01-01 18:00:00,4235113,5,6,6,6
1900-01-01 18:00:00,4235113,5,6,6,6
1900-01-01 18:00:00,4235113,5,5,6,6
1900-01-01 18:00:00,4235113,6,6,6,6
1900-01-01 18:00:00,4235113,5,6,6,6
1900-01-01 18:00:00,4235113,6,6,6,6
1900-01-01 18:00:00,4235113,6,6,6,6
1900-01-01 18:00:00,4235113,6,6,6,6
1900-01-01 18:00:00,4235113,6,6,6,6
1900-01-01 18:10:00,4235113,6,6,6,6
1900-01-01 18:10:00,4235113,6,7,7,7
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,5,5,5,5
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,6,6,6,6
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,5,6,6,6
1900-01-01 18:10:00,4235113,6,7,7,7
1900-01-01 18:20:00,4235113,6,6,6,6
1900-01-01 18:20:00,4235113,5,6,6,6
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:20:00,4235113,5,6,6,6
1900-01-01 18:20:00,4235113,5,6,6,6
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:20:00,4235113,5,6,6,6
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:20:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,6,6,6
